geometry,bus,highway,name,public_transport,ref,name:ta,bench,check_date:shelter,lit,operator:wikidata,operator:wikipedia,route_ref,shelter,wheelchair,name:en,bin,tactile_paving,local_ref,operator,note,fixme,kerb,kerb:approach_aid,passenger_information_display,description,name:signed,addr:city,addr:postcode,addr:street,organic,shop,website,panoramax,disused,departures_board,loc_name,network,network:short,network:wikidata,network:wikipedia,designation,source,building,public_transport:version,alt_name,wikidata,wikipedia,addr:country,covered,sign,type,alt_name:en,access,amenity,fee
POINT (80.2512974 12.9861355),yes,bus_stop,SRP Tools Bus Stand,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2013107 13.0853785),yes,bus_stop,Thirumangalam Metro,platform,,திருமங்கலம் மெட்ரோ பேருந்து நிறுத்தம்,yes,2026-07-04,,,,,yes,,,,,,Government,,,,,,,,"Thirumangalam, Chennai",600040,"2nd Avenue, Anna Nagar",,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2064033 13.0190177),yes,bus_stop,Ekkattuthangal,platform,,,yes,,,,,,yes,,,yes,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2066739 13.0243667),yes,bus_stop,Kalaimagal Nagar,platform,,,yes,,yes,,,,yes,,,yes,,,,,,,,,Buses towards CMBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2069943 13.0243263),yes,bus_stop,Kalaimagal Nagar,platform,,,yes,,yes,,,,yes,,,no,,,,,,,,,Buses towards Guindy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1981881 13.0870648),yes,bus_stop,Thirumangalam EB Office Bus Stop,platform,,,yes,,,,,,yes,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,"Thirumangalam, Chennai",600040,Ambattur Estate Road,,,https://mtcbus.org/,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2121426 13.0468396),yes,bus_stop,Vadapalani,platform,,,,,,,,D70;M70,,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2114618 13.053955),yes,bus_stop,Vadapalani (Nerkundram Pathai),platform,,,yes,,,,,D70;M70,yes,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2115596 13.0630102),yes,bus_stop,MMDA,platform,,,,,,,,,,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.1983699 13.082197),yes,bus_stop,CPWD Quarters Bus Stop,platform,,,yes,,,,,,yes,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,"Jawaharlal Nehru Road, Thirumangalam",,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2533063 12.9420294),yes,bus_stop,Buhari Hotel Bus Stop,,,,,,,,,,,,,,,,,,Fix location / position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2592029 12.976764),yes,bus_stop,Thiruvanmiyur RTO,platform,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2152668 13.076939),yes,bus_stop,Aringar Anna Arch,platform,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2176034 13.075358),yes,bus_stop,Anna Arch,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2178689 13.0851915),yes,bus_stop,Kandhasamy College,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2180699 13.0906948),yes,bus_stop,S. S. Super Market Bus Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2187163 13.0957115),yes,bus_stop,Anna Peripheral Hospital Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2086858 13.1027785),yes,bus_stop,Kalpana Hotel Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1989924 13.1032312),yes,bus_stop,SIDCO Nagar,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2026581 13.1036674),yes,bus_stop,Nathamuni Theatre Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2061553 13.1080663),yes,bus_stop,South Redhills Road Market,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2107409 13.1022099),yes,bus_stop,Kallukadai Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2145485 13.1001091),yes,bus_stop,ICF,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2189413 13.0956228),yes,bus_stop,Anna Peripheral Hospital Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2182669 13.0900917),yes,bus_stop,14 Shops Stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.218134 13.0858113),yes,bus_stop,Kandasamy College,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2159601 13.0848033),yes,bus_stop,Anna Nagar Roundtana,platform,,,,,,,,,,,Anna Nagar Roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2132579 13.0848976),yes,bus_stop,Ayyappan Kovil,platform,,,,,,,,,,,Ayyappan Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2118818 13.0847224),yes,bus_stop,Ayyappan Kovil,platform,,,,,,,,,,,Ayyappan Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2109928 13.0849958),yes,bus_stop,Blue Star,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2095342 13.0848336),yes,bus_stop,Anna Nagar Tower Station,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2095483 13.0850967),yes,bus_stop,Anna Nagar Tower Station,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2059235 13.0186408),yes,bus_stop,Ekkattuthangal,platform,,,,,,,,D70;M70,yes,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.253785 13.054195),yes,bus_stop,ஆயிரம் விளக்கு,platform,,,yes,,,,,,yes,,thousand lights,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1974447 13.0873581),,bus_stop,Thirumangalam EB Office,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1903448 13.0878057),,bus_stop,Collector Nagar,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1893914 13.0875626),yes,bus_stop,Collector Nagar,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2065633 13.0692359),yes,bus_stop,Jai Nagar Park,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2002264 13.073976),yes,bus_stop,Vijayakanth Kalyana Mandapam,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1987027 13.0820746),yes,bus_stop,CPWD Quarters Bus Stop,platform,,,yes,,,,,,yes,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2113404 13.0318973),yes,bus_stop,Pondicherry Buses Only,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2123446 13.0476117),yes,bus_stop,Sivan Kovil,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2116987 13.0580044),yes,bus_stop,Thirunagar,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2112943 13.0651401),yes,bus_stop,MMDA,platform,,,,,,,,,,,,,,,Metropolitan Transport Corporation (Chennai) Ltd.,,,,,,,,,,,,,,,,,,MTC,,,,,,,,,,,,,,,,,,
POINT (80.2553985 12.9874595),yes,bus_stop,Jayanti,platform,,ஜெயந்தி,,,,,,M1;M70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.21336 13.00809),yes,bus_stop,Race Course (Guindy),platform,,,yes,,no,,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1986536 13.119438),yes,bus_stop,DRJ Hospital Bus stop,platform,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2333649 12.9866789),yes,bus_stop,Taramani Guest House,platform,,,yes,,no,,,,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.259745 12.9852935),yes,bus_stop,Marudeeswarar Temple,platform,mtcstop#1027,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2591757 13.014823),yes,bus_stop,Sathya Studio,platform,mtcstop#1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2549486 13.0565227),yes,bus_stop,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2583912 13.0069536),yes,bus_stop,Malar Hospital,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2587553 13.0079179),yes,bus_stop,Malar Hospital,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
