geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
POINT (80.2781615 13.0845384),,,,supermarket,,600003,South Mint Street,,502/266,,,80.2781615,13.0845384
POINT (80.2295534 12.9813012),,,Ayya SuperMarket,supermarket,,,,,,,,80.2295534,12.9813012
POINT (80.2089352 12.9799898),,,JK Super Market,supermarket,,,"Aandal Nagar, 6th Cross Street, Adambakkam - 600088",,,,,80.20893520000001,12.979989800000002
POINT (80.1966386 13.0874539),,,Annachi Super Market,supermarket,,,,,,,,80.1966386,13.0874539
POINT (80.2681846 13.0175213),,,,supermarket,,,,,,,,80.2681846,13.0175213
POINT (80.2407688 13.045587),,,Nuts and Spices,supermarket,,,,,,,,80.2407688,13.045587
POINT (80.2406636 13.0455141),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2406636,13.045514099999998
POINT (80.1978426 13.079402),,,,supermarket,,,,,,Mo-Su 10:00-22:00,,80.1978426,13.079402000000002
POINT (80.1570095 13.1011119),,,Neo Supermarket,supermarket,"Ambattur, Chennai",600058,"Thiruppur Kumaran Street, VGN Shanthi Nagar, Ambattur, Chennai",,"CSA2, 8",,,80.15700950000002,13.1011119
POINT (80.2455557 13.054753),,,Helice,supermarket,,,,,,,,80.2455557,13.054753
POINT (80.2456105 13.0554705),,,Rajendran Store,supermarket,,,,,,,,80.24561050000001,13.0554705
POINT (80.2457969 13.0553682),,,Angadi,supermarket,,,,,,,,80.2457969,13.055368199999998
POINT (80.2430596 13.0574051),,,Grace World,supermarket,,,,,,,,80.2430596,13.0574051
POINT (80.2439087 12.9695845),,,WhatsFresh,supermarket,Perungudi,600096,Dr MGR Main Road,,"40, Global Infocity",,,80.2439087,12.969584499999996
POINT (80.1602804 13.0210736),,,Arush Retail Supermarket,supermarket,Mugalivakkam,600125,Mugalivakkam Main Road,,1,Mo-Su 07:00-22:00,,80.1602804,13.021073599999998
POINT (80.2155103 13.0342714),,,Nuts N Spices,supermarket,Chennai,600033,,,,,,80.2155103,13.034271399999998
POINT (80.2151382 13.0341642),,,Grace Super Market,supermarket,Chennai,600033,,,,,,80.2151382,13.034164199999996
POINT (80.2360977 12.9665853),,,Krishna Supermarket,supermarket,,,,,,,,80.2360977,12.9665853
POINT (80.1897943 13.0932135),,,Prabhuraja supermarket,supermarket,Chennai,600050,"NSC Bose st, Kumaran nagar,Padi",,139,Mo-Su 09:00-21:00,,80.1897943,13.0932135
POINT (80.1480943 13.1214544),,,Singapore Shopping,supermarket,,,,,,,,80.1480943,13.1214544
POINT (80.1537233 13.1189931),,,Grace Supermarket,supermarket,,,,,,,,80.1537233,13.118993099999996
POINT (80.268615 13.0474258),,,அமுதம் பல்பொருள் சிறப்பு அங்காடி(சுய சேவை பிரிவு),supermarket,,,VM St,,430,Mo-Su 08:00-20:00,,80.268615,13.047425799999996
POINT (80.2123238 13.0284745),,,Ray Mart Supermarket,supermarket,,,"No 1, Gangai Amman Koil St, Barathi Block, VSM Garden, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,,Mo-Su 09:30-21:30,,80.2123238,13.028474500000002
POINT (80.2088159 13.0299976),,,Visalam Supermarket,supermarket,,,"97/98, 1, Jawaharlal Nehru Road, Ashok Nagar, Chennai, Tamil Nadu 600083",,,Mo-Su 09:00-23:00,,80.2088159,13.029997599999998
POINT (80.2323815 13.0365972),,,Bharath Gem Testing Lab,supermarket,Chennai,600017,Mothilol street,,42,Mo-Sa 10:00-19:00,,80.2323815,13.036597199999996
POINT (80.2513463 12.9983201),,,Dhanyam organic shop,supermarket,Chennai,600020,Indira Nagar 3rd Ave,https://dhanyam.in/,,,,80.2513463,12.9983201
POINT (80.2211935 12.9761125),,,Dhanyam Organic store,supermarket,Chennai,600045,Velachery Main Road,https://dhanyam.in/,,,,80.2211935,12.9761125
POINT (80.2443029 13.0445056),,,Dhanyam organic store,supermarket,chennai,600017,Doctor Shivaji Ganesan Road,https://dhanyam.in/,,,,80.2443029,13.0445056
POINT (80.212224 13.0838561),,,Dhanyam Organic shop,supermarket,Chennai,600040,4th Street,https://dhanyam.in/,,,,80.212224,13.083856100000002
POINT (80.2534825 12.942059),,,Dhanyam organic store,supermarket,Chennai,,East Coast Road SH49,https://dhanyam.in/,,,,80.2534825,12.942058999999997
POINT (80.2436443 12.87087),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2436443,12.870869999999998
POINT (80.2807246 13.0859974),,,C.S.Rajasundaram Chetty & Sons.,supermarket,Chennai,600003,"Rattan Bazaar Road, Park Town,",,,09:30-21:00,,80.2807246,13.085997400000002
