geometry,brand,brand:wikidata,brand:wikipedia,name,name:ta,shop,addr:city,addr:postcode,addr:street,bench,bin,bus,highway,organic,public_transport,shelter,website,landuse,operator,addr:housenumber,air_conditioning,changing_table,check_date,currency:INR,internet_access,name:en,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:upi,payment:visa,second_hand,toilets,toilets:wheelchair,wikidata,wikipedia,source,building:levels,phone,ref:vatin,wheelchair,old_addr:housenumber,opening_hours,alt_name,is_in,note,addr:country,addr:place,comment,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,description,payment:maestro,addr:full,level,image,panoramax,addr:district,building,payment:google_pay,longitude,latitude
POINT (80.2776473 13.0839331),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,Praveen Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2776473,13.083933099999998
POINT (80.2307424 12.9856682),,,,Sri Ayyanaar Store,,supermarket,Chennai,600042,Gandhi Road,,,,,,,,,,,,,,,,,,yes,no,no,,,,,,,,,,,,,no,,08:30-20:30,,Velacheri;Chennai;Tamilnadu;TN;India;IN,,IN,Velachry,not a super market but have most of grocery items except vegetables it is more than a conveniencestore,yes,no,no,yes,,,,,,,,,,80.2307424,12.985668199999996
POINT (80.1927849 13.0379652),,,,,,supermarket,,600078,Anna Main Road,,,,,,,,,,,,,,,,,SUPER MARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1927849,13.037965199999999
POINT (80.2249871 12.9862638),,,,Sri Periyandavar Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2249871,12.986263800000003
POINT (80.1881554 13.0871698),,,,Annachi Supermarket,அண்ணாச்சி சிறப்பு அங்காடி,supermarket,,,"Bazaar Rd, Thirumangalam, Collector Nagar, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9195662 52790,,,,Mo-Sa 08:00-23:00; Su 10:00-21:30,,,,,,,,,,,Grocery Super Market,,,,,,,,,80.1881554,13.087169799999998
POINT (80.199766 13.085416),,,,Nilgris Supermarket,,supermarket,,,"2nd Avenue, Anna Nagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.199766,13.085415999999997
POINT (80.1670292 13.081515),,,,DR SUPER MARKET,,supermarket,Chennai,600037,"Ramalingam Salai, 4th Block, Mogappair West, Ambattur Industrial Estate",,,,,,,,,,,4/744,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,,,,,80.1670292,13.081514999999998
POINT (80.2621523 12.9771822),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2621523,12.977182199999996
POINT (80.2781615 13.0845384),,,,,,supermarket,,600003,South Mint Street,,,,,,,,,,,502/266,,,,,,Eshwararam Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2781615,13.084538400000001
POINT (80.2295534 12.9813012),,,,Ayya SuperMarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2295534,12.981301199999999
POINT (80.2089352 12.9799898),,,,JK Super Market,,supermarket,,,"Aandal Nagar, 6th Cross Street, Adambakkam - 600088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.20893520000001,12.979989800000002
POINT (80.1966386 13.0874539),,,,Annachi Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1966386,13.0874539
POINT (80.2681846 13.0175213),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2681846,13.0175213
POINT (80.2407688 13.045587),,,,Nuts and Spices,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2407688,13.045587
POINT (80.2406636 13.0455141),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2406636,13.045514099999998
POINT (80.1978426 13.079402),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,VR Mall,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,,80.1978426,13.079402000000002
POINT (80.1570095 13.1011119),,,,Neo Supermarket,,supermarket,"Ambattur, Chennai",600058,"Thiruppur Kumaran Street, VGN Shanthi Nagar, Ambattur, Chennai",,,,,,,,,,,"CSA2, 8",,,,,,,yes,,yes,,,,,,,,,,,9444258291,,,,,,,,,,,,,,,,,,,,,,,,80.15700950000002,13.1011119
POINT (80.2455557 13.054753),,,,Helice,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2455557,13.054753
POINT (80.2456105 13.0554705),,,,Rajendran Store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24561050000001,13.0554705
POINT (80.2457969 13.0553682),,,,Angadi,,supermarket,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2457969,13.055368199999998
