geometry,bus,highway,name,public_transport,name:ta,bench,shelter,name:en,local_ref,operator,source,longitude,latitude
POINT (80.2513821 13.0972089),yes,bus_stop,Otteri,platform,ஓட்டேரி,,,,IIT,,GPS,80.2513821,13.0972089
POINT (80.2531007 13.1049521),yes,bus_stop,Mettupalayam,platform,மேட்டுப்பாளையம்,,,,IIT,,GPS,80.25310070000002,13.104952099999998
POINT (80.2493548 13.1064019),yes,bus_stop,Jamalia,platform,,,,,IIT,,GPS,80.2493548,13.106401900000002
POINT (80.2458654 13.1071652),yes,bus_stop,Mangalapuram,platform,,,,,IIT,,GPS,80.2458654,13.1071652
POINT (80.2445619 13.1080594),yes,bus_stop,Perambur Railway Station,platform,பெரம்பூர் ரயில் நிலையம்,,,,IIT,,GPS,80.2445619,13.1080594
POINT (80.2444885 13.108164),yes,bus_stop,Perambur Railway Station Bus Stand,platform,,,,,IIT,,GPS,80.2444885,13.108163999999997
POINT (80.2467397 13.1073116),yes,bus_stop,Mangalapuram,platform,,,,,,,GPS,80.2467397,13.107311599999996
POINT (80.250519 13.1062169),yes,bus_stop,Jamalia,platform,,,,,IIT,,GPS,80.250519,13.106216899999998
POINT (80.2531768 13.105056),yes,bus_stop,Mettupalayam,platform,மேட்டுப்பாளையம்,,,,IIT,,GPS,80.2531768,13.105055999999996
POINT (80.2526445 13.1023363),yes,bus_stop,Binny Mills,platform,பின்னி மில்ஸ்,,,,IIT,,GPS,80.2526445,13.1023363
POINT (80.2514514 13.0972157),yes,bus_stop,Otteri,platform,ஓட்டேரி,,,,IIT,,GPS,80.2514514,13.0972157
POINT (80.2433699 13.0694621),yes,bus_stop,Chetpet,platform,சேத்துப்பட்டு,,,,IIT,,GPS,80.2433699,13.0694621
POINT (80.2509794 13.0936235),yes,bus_stop,Saravana Theatre,platform,சரவணா திரையரங்கு,,,,IIT,,GPS,80.2509794,13.0936235
POINT (80.2511188 13.0906349),yes,bus_stop,R.K. Road,platform,ஆர்.கே சாலை,,,,IIT,,GPS,80.2511188,13.090634899999998
POINT (80.2506503 13.0872089),yes,bus_stop,Mekala Theatre,platform,,,,,IIT,,GPS,80.2506503,13.0872089
POINT (80.254603 13.0834502),yes,bus_stop,Millers Road,platform,மில்லர்ஸ் சாலை,,,,IIT,,GPS,80.254603,13.083450199999998
POINT (80.2521255 13.0787415),yes,bus_stop,KMC,platform,,yes,yes,,IIT,,GPS,80.2521255,13.0787415
POINT (80.2465225 13.0677838),yes,bus_stop,College Road,platform,கல்லூரி சாலை,yes,yes,,IIT,,GPS,80.2465225,13.0677838
POINT (80.2478922 13.0666677),yes,bus_stop,Haddows Road,platform,,,yes,,IIT,,GPS,80.2478922,13.066667699999998
POINT (80.2487138 13.0573221),yes,bus_stop,Income Tax Offrice,platform,வருமான வரி அலுவலகம்,,yes,,IIT,,GPS,80.2487138,13.0573221
POINT (80.2683208 13.0413309),yes,bus_stop,Valluvar Statue,platform,வள்ளுவர் சிலை,,yes,Valluvar Statue,IIT,,GPS,80.2683208,13.0413309
POINT (80.2691671 13.044299),yes,bus_stop,VM Street,platform,,,,,,,,80.2691671,13.044299
POINT (80.247496 13.0606301),yes,bus_stop,Sterling,platform,ஸ்டெர்லிங்,,,,IIT,,GPS,80.247496,13.060630099999996
POINT (80.2526129 13.0501996),yes,bus_stop,Semozhi Poonga,platform,,,,,IIT,,GPS,80.2526129,13.050199599999996
POINT (80.2496516 13.0549585),yes,bus_stop,Gemini,platform,ஜெமினி,yes,yes,,IIT,,GPS,80.24965160000002,13.0549585
POINT (80.2538615 13.048023),yes,bus_stop,Stella Maris College,platform,,,,,IIT,,GPS,80.2538615,13.048023
POINT (80.256717 13.0459666),yes,bus_stop,Chola Hotel,platform,,,,,IIT,,GPS,80.256717,13.045966600000002
POINT (80.2681224 13.0344064),yes,bus_stop,Kapaleeshwar Temple,platform,,,,,IIT,,GPS,80.2681224,13.034406399999998
POINT (80.2648393 13.0447018),yes,bus_stop,Woodlands,platform,,,,,IIT,,GPS,80.26483930000002,13.0447018
POINT (80.2677461 13.0376266),yes,bus_stop,Luz Corner,platform,,,,Luz Corner,IIT,,GPS,80.2677461,13.0376266
POINT (80.2667491 13.0299144),yes,bus_stop,Mandaveli Market,platform,,,,,IIT,,GPS,80.2667491,13.0299144
POINT (80.2634866 13.0222664),yes,bus_stop,Rani Meiyammai School,,,,yes,Rani Meiyammai School,IIT,,GPS,80.2634866,13.0222664
POINT (80.2597582 13.0162141),yes,bus_stop,Andhra Mahila Sabha,platform,,,yes,,IIT,,GPS,80.25975820000001,13.0162141
POINT (80.2586412 13.0070713),yes,bus_stop,Adyar Signal,platform,,,,,IIT,,GPS,80.2586412,13.0070713
POINT (80.2561722 12.998741),yes,bus_stop,Adyar Depot,platform,,,,Adyar Depot Bus Stand,IIT,,GPS,80.2561722,12.998741
POINT (80.2560835 12.9889638),yes,bus_stop,Jayanthi Theatre,platform,,,,,IIT,,GPS,80.2560835,12.9889638
POINT (80.2579993 12.9868818),yes,bus_stop,Thiruvanmiyur,platform,திருவான்மியூர்,,yes,,,MTC,GPS;local knowledge,80.2579993,12.9868818
POINT (80.259059 12.9766865),yes,bus_stop,Thiruvanmiyur RTO,platform,,yes,yes,,IIT,,GPS,80.259059,12.9766865
POINT (80.2594959 12.9850797),yes,bus_stop,Marundeeswarar Temple,platform,,,,,IIT,,,80.2594959,12.985079699999998
POINT (80.257895 12.9694759),yes,bus_stop,Kottivakkam,platform,,,,,IIT,,GPS,80.257895,12.9694759
POINT (80.2575889 12.96954),yes,bus_stop,Kotivakkam,platform,,,,,IIT,,GPS,80.2575889,12.96954
POINT (80.2552125 12.9540502),yes,bus_stop,Chinna Neelankarai,,,,,,IIT,,GPS,80.2552125,12.954050199999998
POINT (80.2550489 12.9504769),yes,bus_stop,Vettuvankeni,,,,,,IIT,,,80.25504890000002,12.950476899999998
POINT (80.2514212 12.9273395),yes,bus_stop,Injambakkam,,,,,,IIT,,GPS,80.2514212,12.927339499999997
POINT (80.2528146 12.9384549),yes,bus_stop,Saibaba,platform,,,,,IIT,,GPS,80.2528146,12.9384549
POINT (80.254723 12.9496587),yes,bus_stop,Vettuvankeni,platform,,yes,yes,Neelankarai,IIT,,,80.254723,12.949658700000002
POINT (80.2514507 12.9273447),yes,bus_stop,Injambakkam,platform,ஈஞ்சம்பாக்கம்,,,,IIT,,GPS,80.25145070000002,12.9273447
POINT (80.2503942 12.9140134),yes,bus_stop,Water Tank,platform,,,,,IIT,,GPS,80.25039420000002,12.9140134
POINT (80.2513359 12.9205379),yes,bus_stop,VGP,platform,,,,,IIT,,GPS,80.2513359,12.920537899999998
POINT (80.2474836 12.8975923),,bus_stop,Unknown,,,,,,,,,80.2474836,12.8975923
POINT (80.2438102 12.8774931),,bus_stop,Nainar Depot,,,,,,IIT,,GPS,80.24381020000001,12.8774931
POINT (80.2435911 12.8689025),,bus_stop,Uthandi,platform,,,,,IIT,,GPS,80.2435911,12.8689025
POINT (80.241912 12.8597978),,bus_stop,Ragas,,,,,,IIT,,GPS,80.241912,12.8597978
POINT (80.2418337 12.8598425),,bus_stop,Ragas,,,,,,IIT,,GPS,80.2418337,12.859842499999996
POINT (80.2438159 12.8778797),,bus_stop,Nainar Depot,,,,,,IIT,,GPS,80.2438159,12.877879699999998
POINT (80.2433625 12.8679009),,bus_stop,Uthandi,,,,,,IIT,,GPS,80.2433625,12.867900899999997
POINT (80.251487 12.9205826),yes,bus_stop,VGP,platform,,,,,IIT,,GPS,80.251487,12.9205826
POINT (80.2503116 12.9148864),yes,bus_stop,Water Tank,platform,,,,,IIT,,GPS,80.2503116,12.914886399999997
POINT (80.2526055 12.9384795),yes,bus_stop,Saibaba,platform,,,,,IIT,,GPS,80.2526055,12.9384795
POINT (80.2550838 12.9544995),yes,bus_stop,Chinna Neelankarai,platform,,yes,yes,,IIT,,GPS,80.2550838,12.9544995
POINT (80.2547553 13.0066383),yes,bus_stop,Gandhinagar,platform,காந்திநகர்,no,no,Adyar Bus Stand,IIT,,GPS,80.2547553,13.0066383
POINT (80.2562079 12.9612601),yes,bus_stop,Pallavakkam,platform,,,,,IIT,,GPS,80.2562079,12.9612601
POINT (80.2465371 13.0065479),yes,bus_stop,Madhya Kailash,platform,மத்திய கைலாஷ்,yes,yes,,IIT,,GPS,80.2465371,13.0065479
POINT (80.2367069 13.0074031),yes,bus_stop,Gandhi Mandapam,platform,காந்தி மண்டபம்,yes,yes,,IIT,,GPS,80.2367069,13.007403099999996
POINT (80.2262769 13.0221248),yes,bus_stop,சைதாப்பேட்டை காவல் நிலையம்,platform,சைதாப்பேட்டை காவல் நிலையம்,,,Saidapet Police Station,IIT,,GPS,80.2262769,13.0221248
POINT (80.2309064 13.0294483),yes,bus_stop,Halcyon Technologies,platform,,,,T.Nagar,IIT,,GPS,80.2309064,13.029448300000002
POINT (80.2274463 13.0232491),yes,bus_stop,சைதாப்பேட்டை,platform,சைதாப்பேட்டை,,,Saidapet,IIT,,GPS,80.2274463,13.023249099999996
POINT (80.2262688 13.0143216),yes,bus_stop,Little Mount,platform,,,,,IIT,,GPS,80.2262688,13.0143216
POINT (80.2334438 13.0083174),yes,bus_stop,Anna University,platform,அண்ணா பல்கலைக்கழகம்,yes,yes,,IIT,,GPS,80.2334438,13.008317399999996
POINT (80.2097658 13.0072847),yes,bus_stop,Guindy,platform,கிண்டி,,,,IIT,,GPS,80.2097658,13.007284699999998
POINT (80.1785664 13.0237184),yes,bus_stop,L&T Bus Stop,platform,,yes,yes,,IIT,,GPS,80.1785664,13.0237184
POINT (80.1689077 13.0290781),yes,bus_stop,Mugalivakkam,platform,,yes,yes,,IIT,,GPS,80.1689077,13.029078099999998
POINT (80.1632027 13.0323105),yes,bus_stop,Sakthi Nagar,platform,சக்தி நகர்,yes,yes,,IIT,,GPS,80.1632027,13.032310499999998
POINT (80.1566688 13.0345369),yes,bus_stop,போரூர்,platform,போரூர்,,,Porur,IIT,,GPS,80.1566688,13.034536899999996
POINT (80.154217 13.0357914),yes,bus_stop,சக்தி நகர்,,சக்தி நகர்,,,Sakthi Nagar,IIT,,GPS,80.154217,13.0357914
POINT (80.1643507 13.0318741),yes,bus_stop,Sakthi Nagar,platform,சக்தி நகர்,,,,IIT,,GPS,80.1643507,13.0318741
POINT (80.168626 13.0295066),yes,bus_stop,Mugalivakkam,platform,,,yes,,IIT,,GPS,80.168626,13.0295066
POINT (80.1767049 13.0250276),yes,bus_stop,Moon lite,platform,,,,,IIT,,GPS,80.1767049,13.0250276
POINT (80.1839683 13.0209667),yes,bus_stop,Ramapuram,platform,ராமபுரம்,,yes,,IIT,,GPS,80.1839683,13.020966700000002
POINT (80.1789017 13.0238073),yes,bus_stop,L&T,platform,,,,,IIT,,GPS,80.1789017,13.023807299999998
POINT (80.1893475 13.016826),yes,bus_stop,Nandambakkam,platform,நந்தம்பாக்கம்,yes,yes,,IIT,,GPS,80.1893475,13.016825999999998
POINT (80.225033 13.0155768),yes,bus_stop,சின்ன மலை Little Mount Metro,platform,சின்ன மலை,yes,yes,Little Mount,Little Mount,Metropolitan Transport Corporation Chennai,GPS;local knowledge,80.225033,13.015576800000002
POINT (80.2287544 12.980629),yes,bus_stop,Baby Nagar,platform,,,,,,,,80.2287544,12.980629
POINT (80.2615847 13.0073755),yes,bus_stop,Avvaai Illam,,,,,,,,,80.2615847,13.007375500000002
POINT (80.1856214 12.9816323),yes,bus_stop,Independence Day Park,platform,,,,Independence Day Park,,,,80.1856214,12.981632299999998
POINT (80.2247636 13.0412747),yes,bus_stop,Thambiah Road,platform,தம்பையா சாலை,,,,,,,80.2247636,13.041274699999995
POINT (80.2246214 13.042286),yes,bus_stop,Unknown,platform,,,,,,,,80.2246214,13.042286
POINT (80.2416011 13.0403357),yes,bus_stop,Holy Angels Convent,platform,,yes,yes,,,,,80.2416011,13.040335700000002
POINT (80.2392262 13.0404185),yes,bus_stop,Unknown,platform,,yes,yes,,,,,80.2392262,13.0404185
POINT (80.2376529 13.0407766),yes,bus_stop,T. Nagar Pondy Bazaar Big Bazaar,platform,,yes,yes,,,,,80.2376529,13.040776599999996
POINT (80.191524 13.0465771),yes,bus_stop,Virugambakkam,platform,,,,,,,,80.191524,13.0465771
POINT (80.2242622 13.0290249),yes,bus_stop,Oxford School,platform,ஆக்ஸ்போர்டு பள்ளி,,,,,,,80.2242622,13.029024899999998
POINT (80.2242183 13.031205),yes,bus_stop,Srinivasa Theatre,platform,சீனிவாச திரையரங்கு,,,,,,,80.2242183,13.031205
POINT (80.2240709 13.0311449),yes,bus_stop,Srinivasa Theatre,platform,சீனிவாச திரையரங்கு,,,,,,,80.2240709,13.0311449
POINT (80.2240205 13.0290173),yes,bus_stop,Oxford School,platform,ஆக்ஸ்போர்டு பள்ளி,,,,,,,80.2240205,13.0290173
POINT (80.2119807 13.0036032),yes,bus_stop,Maduvankarai,platform,,no,no,,,Metropolitan Transport Corporation (Chennai) Ltd.,,80.2119807,13.0036032
