geometry,amenity,brand,brand:wikidata,healthcare,name,dispensing,addr:street,longitude,latitude
POINT (80.2018315 12.9283338),pharmacy,,,,,,,80.2018315,12.9283338
POINT (80.270192 13.0266818),pharmacy,,,pharmacy,Periyandaver Pharmacy,,,80.270192,13.0266818
POINT (80.2182562 12.970622),pharmacy,,,pharmacy,Jayanthi Enterprise,yes,,80.2182562,12.970621999999995
POINT (80.2079408 13.0728115),pharmacy,,,,Siva Medicals,yes,,80.2079408,13.072811499999998
POINT (80.1880567 12.9796042),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,46th Street,80.1880567,12.9796042
POINT (80.1882119 12.9810527),pharmacy,,,pharmacy,Gokul Medicals,,,80.1882119,12.9810527
POINT (80.2050048 13.0677514),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2050048,13.0677514
POINT (80.2163029 13.0346459),pharmacy,,,pharmacy,Rajan Opticals,,,80.2163029,13.034645899999996
POINT (80.2166274 13.0385891),pharmacy,,,pharmacy,Agarwal,yes,,80.2166274,13.038589099999998
POINT (80.1885197 12.9860357),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.1885197,12.9860357
POINT (80.188611 12.9843945),pharmacy,,,pharmacy,Ambhika Medicals,,,80.188611,12.9843945
POINT (80.1881281 12.9872328),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.1881281,12.987232799999996
POINT (80.215805 13.0904821),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.215805,13.090482099999996
POINT (80.1881307 12.9806725),pharmacy,,,pharmacy,Roja Medicals,,,80.1881307,12.980672500000004
POINT (80.1748512 13.0158622),pharmacy,,,,LAB,no,,80.1748512,13.0158622
POINT (80.1748112 13.015755),pharmacy,,,,,no,,80.1748112,13.015755
POINT (80.1903162 12.9886621),pharmacy,,,pharmacy,Shri Ganesh Pharmacy,,5th Main Road,80.1903162,12.9886621
POINT (80.2204682 13.0249589),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,yes,Jones Road,80.2204682,13.024958899999996
POINT (80.2204111 13.0248573),pharmacy,,,pharmacy,Sushil Medicals,yes,,80.2204111,13.0248573
POINT (80.221673 13.0250873),pharmacy,,,pharmacy,Sri Ram Medicals,,,80.221673,13.025087299999996
POINT (80.2207562 13.0249743),pharmacy,,,pharmacy,Amman Medicals,yes,,80.2207562,13.024974299999998
POINT (80.2203146 13.0249507),pharmacy,,,pharmacy,Ganesh Medicals,yes,,80.2203146,13.024950699999996
POINT (80.2213774 13.0250178),pharmacy,,,pharmacy,Naga Medicals,yes,,80.2213774,13.0250178
POINT (80.2231695 13.0242117),pharmacy,,,pharmacy,Sri Karaneeswarar Medicals,,Karaneeswar Koil Street,80.2231695,13.0242117
POINT (80.2211617 13.0222576),pharmacy,,,pharmacy,Udayam Medicals,,,80.2211617,13.0222576
POINT (80.2194646 13.0216638),pharmacy,,,pharmacy,Sri Iyappa Medicals,,,80.21946460000001,13.021663799999995
POINT (80.2245935 13.0221323),pharmacy,,,pharmacy,,,Bazaar Road,80.2245935,13.022132299999996
POINT (80.2213776 13.0395967),pharmacy,,,pharmacy,Jaya Medicals,,Arya Gowda Road,80.2213776,13.039596700000002
POINT (80.2168255 13.0247344),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2168255,13.024734399999998
POINT (80.2207542 13.0221564),pharmacy,,,pharmacy,Saranya Medicals,,,80.2207542,13.022156400000002
POINT (80.2206601 13.0222453),pharmacy,,,pharmacy,Saravana Medicals,,,80.2206601,13.022245299999998
POINT (80.224325 13.0218682),pharmacy,,,pharmacy,Sayer Pharmacy,,,80.224325,13.0218682
POINT (80.2226021 13.0221953),pharmacy,,,pharmacy,Sindhu Pharmacy,,,80.2226021,13.022195299999996
POINT (80.2199272 13.0222897),pharmacy,,,pharmacy,Vasantham Medicals,,,80.2199272,13.022289700000002
POINT (80.2194413 13.0224517),pharmacy,,,pharmacy,,,,80.21944130000001,13.022451699999998
POINT (80.2243017 12.9867053),pharmacy,,,pharmacy,,,,80.2243017,12.986705300000002
POINT (80.2777363 13.0922553),pharmacy,,,pharmacy,,,,80.2777363,13.092255299999996
POINT (80.2291961 12.9857194),pharmacy,,,pharmacy,Gandhi Pharmacy,,,80.2291961,12.9857194
POINT (80.2185088 13.0242543),pharmacy,,,pharmacy,Maruthi Pharmacy,,,80.2185088,13.024254300000004
POINT (80.2249547 13.0419746),pharmacy,,,pharmacy,West Mambalam Pharmacy,,,80.2249547,13.041974599999998
POINT (80.2257791 13.0420421),pharmacy,,,pharmacy,Jeyalakshmi Medicals,,,80.2257791,13.0420421
POINT (80.2410405 13.0172184),pharmacy,,,,Madras Medicals,,,80.2410405,13.0172184
POINT (80.2212706 13.0391259),pharmacy,,,pharmacy,Vinodh Medicals,,Arya Gowda Rd,80.2212706,13.039125899999997
POINT (80.2563513 12.9991848),pharmacy,,,pharmacy,Andavar Medicals,,,80.2563513,12.9991848
POINT (80.257968 12.9992548),pharmacy,,,pharmacy,Nagappa Pharmacy,,Shastri Nagar 1st Cross St,80.257968,12.9992548
POINT (80.2566841 12.9991541),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,9th Lane,80.2566841,12.999154100000002
POINT (80.2226905 13.0363292),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2226905,13.0363292
POINT (80.2230223 13.0366726),pharmacy,,,pharmacy,Mumtaz Medicals,,,80.2230223,13.0366726
POINT (80.2222656 13.0362675),pharmacy,,,pharmacy,Saravana Medicals,,,80.2222656,13.0362675
POINT (80.2230191 13.0368258),pharmacy,,,pharmacy,Dhanalakshmi Medicals,,,80.2230191,13.0368258
POINT (80.2182467 12.985733),pharmacy,,,,Specialist Pharmacy,,,80.2182467,12.985733
POINT (80.2282833 12.9859425),pharmacy,,,pharmacy,,,,80.2282833,12.985942499999998
POINT (80.2274512 12.9861154),pharmacy,,,pharmacy,Appolo Pharmacy,,,80.2274512,12.986115399999996
POINT (80.195286 13.0597957),pharmacy,,,,,,,80.195286,13.0597957
POINT (80.2765499 13.0610433),pharmacy,,,pharmacy,Shree Devi Medicals,,Parthasarathy Street,80.2765499,13.0610433
POINT (80.2025632 12.9293923),pharmacy,,,,,,Velachery Main Road,80.2025632,12.9293923
POINT (80.1833846 13.0275425),pharmacy,,,,,,,80.1833846,13.027542499999996
POINT (80.2142544 13.0339283),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,53rd Street,80.2142544,13.0339283
POINT (80.2111207 12.9645947),pharmacy,,,pharmacy,,,,80.2111207,12.9645947
POINT (80.2076115 12.9651772),pharmacy,,,pharmacy,,,,80.20761150000001,12.9651772
POINT (80.2070403 12.9651808),pharmacy,,,pharmacy,,,,80.2070403,12.9651808
POINT (80.2064949 12.9653086),pharmacy,,,pharmacy,,,,80.2064949,12.9653086
POINT (80.2065693 12.9654845),pharmacy,,,pharmacy,,,,80.2065693,12.965484499999995
POINT (80.1885088 13.090139),pharmacy,,,,,,TVS AVENUE,80.1885088,13.090139
POINT (80.2246668 13.0313163),pharmacy,,,pharmacy,Sri Krishna Medicals,,,80.2246668,13.0313163
POINT (80.2630412 13.0396163),pharmacy,,,pharmacy,Gokul XRAY,,,80.2630412,13.039616300000002
POINT (80.2030609 13.0856902),pharmacy,,,pharmacy,Sukham Pharmacy,,12th Main Road,80.2030609,13.0856902
POINT (80.2568782 12.9658654),pharmacy,,,pharmacy,Shifa Medicals,,,80.2568782,12.9658654
POINT (80.2588333 12.9752059),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2588333,12.975205900000002
POINT (80.2584682 12.9738038),pharmacy,,,pharmacy,Sri Meyyappa Medicals,,,80.2584682,12.973803799999995
POINT (80.2090829 13.1026223),pharmacy,,,pharmacy,S.R. Medicals,,,80.2090829,13.1026223
POINT (80.2089167 13.1026662),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2089167,13.102666199999998
POINT (80.2076852 13.105724),pharmacy,,,pharmacy,Sri Bhagavan Medicals,,,80.2076852,13.105724
POINT (80.2061087 13.1076791),pharmacy,,,pharmacy,Sri Azhagu Medicals,,"Redhills road, Villivakkam",80.2061087,13.107679100000002
POINT (80.2062148 13.1092819),pharmacy,,,pharmacy,Thai Medical and Generals,,,80.2062148,13.109281900000004
POINT (80.2075899 13.1036499),pharmacy,,,pharmacy,Gurudev Pharmacy,,,80.2075899,13.1036499
POINT (80.2122632 13.0847337),pharmacy,,,pharmacy,Narayanappah Pharmacy,,,80.2122632,13.084733699999996
POINT (80.199355 13.0852419),pharmacy,,,pharmacy,Sathya Pharmacy,,,80.199355,13.0852419
POINT (80.1925899 13.0857391),pharmacy,,,pharmacy,A.R.R. Pharmacy,,Padikuppam Road,80.1925899,13.0857391
POINT (80.1924583 13.085025),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,Padikuppam Road,80.1924583,13.085025
POINT (80.1924194 13.0847424),pharmacy,,,,Madha Medicals,,"Padikuppam Road, Kamarajar Nagar, Anna Nagar West, Chennai",80.1924194,13.0847424
POINT (80.1974921 13.0873798),pharmacy,,,pharmacy,Coopertive Medicals,,,80.1974921,13.0873798
POINT (80.2123839 13.0349633),pharmacy,,,pharmacy,Ashok Medicals,,,80.2123839,13.0349633
POINT (80.1920654 13.0833415),pharmacy,,,,Anbu Medicals,,"Padikuppam road, Kamarajar Nagar, Thirumangalam, Anna Nagar West, Chennai",80.1920654,13.083341499999998
POINT (80.2293617 12.9814619),pharmacy,,,pharmacy,Nanomed Clinical Lab,,,80.2293617,12.981461899999994
POINT (80.2387258 13.0770009),pharmacy,,,pharmacy,The Guest Pharmacy,yes,EVR Periyar Salai (Poonamallee High Road),80.2387258,13.077000899999998
POINT (80.2798104 13.0860154),pharmacy,,,pharmacy,,,,80.27981040000002,13.0860154
POINT (80.2099301 13.105607),pharmacy,,,pharmacy,VM Medicals,,"East Mada Street, Villivakkam",80.2099301,13.105606999999996
POINT (80.2077057 13.108615),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2077057,13.108615
POINT (80.1970993 13.0874373),pharmacy,,,,Jayalakshmi Medicals,,"Welcome colony, Anna nagar west",80.1970993,13.0874373
POINT (80.2520126 13.0853754),pharmacy,,,pharmacy,,,,80.2520126,13.085375399999998
POINT (80.2773224 13.0636828),pharmacy,,,pharmacy,,,,80.2773224,13.0636828
POINT (80.2739292 13.0651517),pharmacy,,,pharmacy,,,,80.2739292,13.0651517
POINT (80.274789 13.0634397),pharmacy,,,pharmacy,,,,80.274789,13.063439699999998
POINT (80.2568577 13.0025112),pharmacy,,,pharmacy,,,,80.2568577,13.0025112
POINT (80.256108 12.9909409),pharmacy,,,pharmacy,,,,80.256108,12.990940899999998
POINT (80.2567379 13.0063273),pharmacy,,,pharmacy,,,,80.25673790000002,13.0063273
POINT (80.2540769 13.1636875),pharmacy,Farmatodo,Q5856092,pharmacy,Farmatodo,yes,,80.2540769,13.1636875
POINT (80.1981286 12.964259),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,yes,"Sabari Salai, Madipakkam",80.1981286,12.964259
POINT (80.2375289 12.967751),pharmacy,,,pharmacy,Annai Pharmacy,yes,,80.2375289,12.967751
POINT (80.1919715 12.9742292),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,yes,Medavakkam Main Road,80.1919715,12.974229199999998
POINT (80.2102579 13.0275307),pharmacy,,,pharmacy,Raasi Medicals,,"30, S.V.Chidambaram Road, Chennai, Tamil Nadu 600084",80.2102579,13.0275307
POINT (80.212303 13.0287197),pharmacy,,,pharmacy,Med Pharmacy,,"Gangai Amman Koil St, Barathi Block, VSM Garden, West Jafferkhanpet, Chennai, Tamil Nadu 600083",80.212303,13.028719699999998
POINT (80.2086055 13.02906),pharmacy,,,pharmacy,Ashok Pharmacy,,,80.2086055,13.02906
POINT (80.2116224 13.0312946),pharmacy,,,pharmacy,Ashok Nagar Pharmacy,,"28, 12th St, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083",80.21162240000001,13.0312946
POINT (80.2677253 12.9949059),pharmacy,,,pharmacy,,,,80.2677253,12.994905899999996
POINT (80.2237405 12.9824657),pharmacy,,,pharmacy,Rajesh Medicals,yes,,80.2237405,12.9824657
POINT (80.2225954 12.9765915),pharmacy,,,pharmacy,Rasi Medicals,yes,Varadarajapuram,80.2225954,12.9765915
POINT (80.1897991 12.9738116),pharmacy,,,,Vaani pharmacy,,,80.1897991,12.9738116
POINT (80.1830158 12.97952),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,yes,,80.1830158,12.979520000000004
POINT (80.1831606 12.978187),pharmacy,,,,Sunshine Pharmacy,,,80.18316060000001,12.978187
POINT (80.1832156 12.9754445),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,yes,,80.1832156,12.975444500000002
POINT (80.2015444 13.1279965),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,yes,,80.2015444,13.1279965
POINT (80.2214223 12.9818118),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2214223,12.9818118
POINT (80.289305 13.0957863),pharmacy,,,pharmacy,Azeez Medicals,yes,,80.289305,13.095786300000002
POINT (80.2890778 13.0963862),pharmacy,,,pharmacy,City Medicals,yes,,80.2890778,13.0963862
POINT (80.2896858 13.0966093),pharmacy,,,pharmacy,Alahu Pharmacy,,,80.2896858,13.096609299999995
POINT (80.1569836 13.0999545),pharmacy,,,,Medplus Pharmacy,,"Mahatma Gandhi Road, VGN, Ambattur, Chennai",80.1569836,13.0999545
POINT (80.2674654 12.9985283),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2674654,12.9985283
POINT (80.2675071 12.9983979),pharmacy,,,pharmacy,Maharaja Medicals,,,80.2675071,12.998397900000002
POINT (80.2675508 12.9982648),pharmacy,,,pharmacy,Shobika Pharmacy,,,80.2675508,12.998264799999998
POINT (80.2762181 13.1020684),pharmacy,,,pharmacy,Right Pharmacy,,,80.2762181,13.1020684
POINT (80.2775936 13.1023245),pharmacy,,,pharmacy,Rajeshwar Medicals,,,80.2775936,13.1023245
POINT (80.2922949 13.1010225),pharmacy,,,pharmacy,K. S. Medicals,,,80.2922949,13.1010225
POINT (80.285492 13.0963175),pharmacy,,,pharmacy,MAS Medicals,,,80.285492,13.096317499999996
POINT (80.2885735 13.0996018),pharmacy,,,pharmacy,London Medicals,,,80.2885735,13.0996018
POINT (80.2801353 13.0998732),pharmacy,,,pharmacy,Mahaveer Pharmacy,,,80.2801353,13.099873199999998
POINT (80.2821469 13.0886282),pharmacy,,,pharmacy,Malick Medicals,,,80.2821469,13.0886282
POINT (80.2846756 13.1047093),pharmacy,,,pharmacy,Arrahman Medicals and Surgicals,,,80.2846756,13.104709299999994
POINT (80.2845635 13.1041557),pharmacy,,,pharmacy,Taj Medicals,,,80.2845635,13.1041557
POINT (80.2845792 13.104237),pharmacy,,,pharmacy,Sree Sai Medicals,,,80.28457920000001,13.104236999999998
POINT (80.2801324 13.094219),pharmacy,,,pharmacy,Shri Rajeshwar Medical,,,80.2801324,13.094219000000002
POINT (80.2844478 13.0943423),pharmacy,,,pharmacy,Gem Medicals,,,80.2844478,13.0943423
POINT (80.2800895 13.0980692),pharmacy,,,pharmacy,Sharma Medicals,,,80.2800895,13.0980692
POINT (80.280902 13.0950834),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.280902,13.0950834
POINT (80.2805799 13.0951375),pharmacy,,,pharmacy,Pooja Medical Store,,,80.2805799,13.0951375
POINT (80.2829543 13.0985389),pharmacy,,,pharmacy,Sri Lakhsmi Medical,,,80.2829543,13.098538899999998
POINT (80.2798882 13.0966762),pharmacy,,,pharmacy,Raj Pharma,,,80.2798882,13.0966762
POINT (80.2799116 13.0971475),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2799116,13.0971475
POINT (80.2799933 13.0983705),pharmacy,,,pharmacy,Shaarave Pharmacy,,,80.2799933,13.0983705
POINT (80.2800047 13.0984538),pharmacy,,,pharmacy,Shub Pharmacy,no,Mint Street,80.2800047,13.098453799999998
POINT (80.279267 13.0965461),pharmacy,,,pharmacy,Raj Pharmacy,,,80.279267,13.096546099999998
POINT (80.279622 13.0946147),pharmacy,,,pharmacy,Shri Soni Medicals,,,80.279622,13.0946147
POINT (80.2798307 13.0958575),pharmacy,,,pharmacy,Lal Medicals,,,80.2798307,13.0958575
POINT (80.2789801 13.0966294),pharmacy,,,pharmacy,Renuka Medicals,,,80.2789801,13.096629399999996
POINT (80.2815594 13.0949718),pharmacy,,,pharmacy,Rajeshwar Medical,,,80.2815594,13.0949718
POINT (80.2843568 13.1024943),pharmacy,,,pharmacy,Eswari Medicals,,,80.2843568,13.102494300000002
POINT (80.2804979 13.098293),pharmacy,,,pharmacy,J.K. Medicals,,,80.2804979,13.098293
POINT (80.2805193 13.0973731),pharmacy,,,pharmacy,Akshathaa Medical,,,80.2805193,13.0973731
POINT (80.2844014 13.0976163),pharmacy,,,pharmacy,Prem Medicals,,,80.2844014,13.0976163
POINT (80.2798674 13.0926295),pharmacy,,,pharmacy,Mahaveer Medicals,,,80.2798674,13.0926295
POINT (80.2128608 13.0854072),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2128608,13.085407199999995
POINT (80.1747522 13.0850035),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.17475220000001,13.0850035
POINT (80.2217887 13.0414646),pharmacy,,,pharmacy,Easwar medicals,,,80.2217887,13.0414646
POINT (80.2223127 13.0439094),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2223127,13.0439094
POINT (80.2263207 13.0467824),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2263207,13.046782399999998
POINT (80.2258794 13.0454549),pharmacy,,,pharmacy,Jayalaksmi medicals,,,80.2258794,13.0454549
POINT (80.2252034 13.0427579),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2252034,13.042757900000002
POINT (80.2251597 13.0426041),pharmacy,,,pharmacy,Velavan medical shop,,,80.2251597,13.042604099999998
POINT (80.2752804 13.0826287),pharmacy,Apollo,,pharmacy,Apollo,,,80.2752804,13.0826287
POINT (80.2821281 13.1017714),pharmacy,,,pharmacy,K.M Medicals,,,80.2821281,13.1017714
POINT (80.2798772 13.1026634),pharmacy,,,pharmacy,Sugam Medicals,,,80.2798772,13.102663399999996
POINT (80.2487015 13.1317646),pharmacy,,,pharmacy,SIVA,yes,,80.2487015,13.1317646
POINT (80.2837444 13.1003427),pharmacy,,,pharmacy,Ameer Medicals,,,80.2837444,13.1003427
POINT (80.2842053 13.1029082),pharmacy,,,pharmacy,Raghavendra Medicals,,,80.2842053,13.102908199999998
POINT (80.2836839 13.0994602),pharmacy,,,pharmacy,Rithick Medicals,,,80.2836839,13.0994602
POINT (80.2670713 13.0374893),pharmacy,,,,RR Pharmacy,,,80.2670713,13.037489300000004
POINT (80.2158837 12.8784555),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.21588370000002,12.8784555
POINT (80.2163126 12.8784034),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2163126,12.8784034
POINT (80.3145268 13.1918073),pharmacy,,,pharmacy,Piramal Pharma,,,80.3145268,13.1918073
POINT (80.2318455 13.070634),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,Vaidhanathan Street,80.2318455,13.070634
POINT (80.230545 13.0720446),pharmacy,,,,Saffra Medicals,,Kanthan Street,80.230545,13.0720446
POINT (80.2303466 13.0722669),pharmacy,,,,Daksha Pharmacy,,Venkatachalabathy Street,80.2303466,13.0722669
POINT (80.2056404 12.9913691),pharmacy,Star Pharmacy,,pharmacy,Star Pharmacy Adambakkam,yes,Kakkan Nagar Main Road,80.2056404,12.9913691
POINT (80.2101864 12.990467),pharmacy,Star Pharmacy,,pharmacy,Star Pharmacy,yes,TNHB Main Road,80.2101864,12.990467
POINT (80.2404197 13.0497595),pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.2404197,13.0497595
POINT (80.2403622 13.0506559),pharmacy,,,,Muthu Pharmacy,,,80.2403622,13.0506559
POINT (80.2313444 13.014314),pharmacy,,,pharmacy,Tamil medicals,,,80.2313444,13.014314
POINT (80.229668 13.0149158),pharmacy,,,pharmacy,Cure blue pharmacy,,,80.229668,13.0149158
POINT (80.2273112 13.0124007),pharmacy,,,pharmacy,முத்து பார்மஸி,,,80.2273112,13.0124007
POINT (80.2397101 13.0499297),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.2397101,13.049929699999996
POINT (80.256244 13.0067683),pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.256244,13.006768299999996
POINT (80.2633615 13.0079436),pharmacy,,,,Sunitha medicals,,,80.2633615,13.0079436
POINT (80.2743744 13.0436029),pharmacy,,,,BRS Medicals,,,80.2743744,13.0436029
POINT (80.2243585 13.0741766),pharmacy,,,pharmacy,S. R. Pharmacy,,,80.2243585,13.0741766
POINT (80.1816258 13.0727877),pharmacy,,,pharmacy,BSB Pharmacy,,,80.1816258,13.072787699999996
POINT (80.2274697 13.0671671),pharmacy,,,pharmacy,MedPlus,,,80.2274697,13.067167100000002
POINT (80.2128632 13.085369),pharmacy,MedPlus,,pharmacy,MedPlus,,,80.2128632,13.085369000000002
POINT (80.2154932 13.0852816),pharmacy,,,pharmacy,SS Chemists,,,80.2154932,13.085281600000004
POINT (80.2696441 13.0343708),pharmacy,,,pharmacy,நியூ சிவா நாட்டு மூலிகை மருந்து கடை,,,80.2696441,13.034370799999996
POINT (80.2676428 13.0330987),pharmacy,,,pharmacy,டி. யு. சி. எஸ். காமதேனு கூட்டுறவு மருந்தகம்,,,80.2676428,13.0330987
POINT (80.2280465 13.0739422),pharmacy,,,pharmacy,Apollo Pharmacy,,,80.2280465,13.073942199999996
"POLYGON ((80.2220456 13.0250022, 80.2220532 13.02493, 80.2219887 13.0249237, 80.2219801 13.0249949, 80.2220456 13.0250022))",pharmacy,,,pharmacy,Sugam Medicals,yes,,80.22201695543036,13.024962808106958
"POLYGON ((80.1528071 13.1192496, 80.1528809 13.1192371, 80.1528596 13.119122, 80.1527807 13.1191336, 80.1528071 13.1192496))",pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.15283186019313,13.119184989123015
"POLYGON ((80.1527544 13.1188746, 80.1529177 13.1188525, 80.1529095 13.1187792, 80.1527401 13.1187997, 80.1527544 13.1188746))",pharmacy,Pradhan Mantri Bharatiya Janaushadhi Pariyojana Kendra,Q39058281,pharmacy,Jan Aushadhi,,,80.1528299556709,13.118826342688465
"POLYGON ((80.1514208 13.121238, 80.1514401 13.1213295, 80.1516072 13.1213038, 80.1515869 13.1212079, 80.1514208 13.121238))",pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.1515144042949,13.121269693729818
"POLYGON ((80.1907692 12.971458, 80.1908708 12.9714289, 80.1908474 12.9713514, 80.1907458 12.9713805, 80.1907692 12.971458))",pharmacy,,,pharmacy,Sri Krishna Medicals,yes,,80.19080830000034,12.97140470000351
"POLYGON ((80.2196802 13.0277973, 80.2197351 13.0277962, 80.219734 13.0277433, 80.2196791 13.0277444, 80.2196802 13.0277973))",pharmacy,MedPlus,Q65684234,pharmacy,MedPlus,,,80.21970709999992,13.027770300000542
"POLYGON ((80.2646683 13.0246619, 80.2646536 13.0246051, 80.2645214 13.0246376, 80.2645361 13.0246944, 80.2646683 13.0246619))",pharmacy,,,pharmacy,Ravi Pharmacy,,"Ramakrishna Mutt Rd, R.A. Puram, Perumal Koil Thottam, Ramakrishna Nagar, Raja Annamalai Puram",80.26459485000262,13.024649750007786
"POLYGON ((80.2375325 12.9677905, 80.2375989 12.9678035, 80.2376178 12.9677074, 80.2375609 12.9677074, 80.2375325 12.9677905))",pharmacy,,,pharmacy,,yes,,80.23757779214188,12.967753794331706
"POLYGON ((80.1928534 13.0402219, 80.193075 13.0401862, 80.1930669 13.0401486, 80.1928473 13.0401803, 80.1928534 13.0402219))",pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,yes,,80.19295898775407,13.04018454460435
"POLYGON ((80.2886372 13.088862, 80.2886031 13.0888591, 80.2885971 13.0889268, 80.2886311 13.0889297, 80.2886372 13.088862))",pharmacy,,,pharmacy,Vema Medicals,yes,,80.28861712682428,13.088894383585671
"POLYGON ((80.287151 13.0887005, 80.2870867 13.0886946, 80.2870793 13.0887632, 80.2871439 13.0887701, 80.287151 13.0887005))",pharmacy,,,pharmacy,Smith Stocking & Co,yes,,80.28711529587599,13.088732143216513
"POLYGON ((80.1517717 13.1197555, 80.1517452 13.1195845, 80.1518262 13.119567, 80.1518352 13.1196401, 80.1518521 13.1197473, 80.1517717 13.1197555))",pharmacy,Apollo Pharmacy,Q62562612,pharmacy,Apollo Pharmacy,,,80.15179872711418,13.119663278224836
