geometry,addr:postcode,amenity,healthcare,name,addr:district,addr:full,addr:state,source,website,addr:block,addr:street,longitude,latitude
POINT (80.2603599 12.996767),600020,hospital,hospital,M N Eye Hospital,Chennai,"33, Mahatma Gandhi Road, Sastri Nagar, 2nd Avenue, Adyar",Tamil Nadu,OpenGovernmentData,,,,80.2603599,12.996767
POINT (80.2864189 13.1170802),600021,hospital,hospital,"A.V. Hospital, Chennai",Chennai,"# 172, Solaiappan Stree, Near Maharani Theatre",Tamil Nadu,OpenGovernmentData,,,,80.28641890000002,13.117080199999998
POINT (80.2309737 13.1122162),600082,hospital,hospital,N.R. Hospital,Chennai,7(1/1A)1st Main Road Jawahar Nagar,Tamil Nadu,OpenGovernmentData,,,,80.2309737,13.1122162
POINT (80.2597135 13.0965878),600012,hospital,hospital,N.R. Medical Home Private Limited,Chennai,"No 1, Binny Colony, Perambur Barracks Road, Behind Binny Cloth Show Room",Tamil Nadu,OpenGovernmentData,,,,80.2597135,13.0965878
POINT (80.289427 13.117412),600021,hospital,hospital,Nagamani Hospitals Private Limited,Chennai,"# 116,118, Rajarathinam Saalai, (G.A. Road)",Tamil Nadu,OpenGovernmentData,,,,80.289427,13.117412
POINT (80.2610184 13.1184216),600039,hospital,hospital,Nalamm Hospital Pvt Ltd,Chennai,"10A/3 I Cross Street, M K B Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2610184,13.1184216
POINT (80.2615173 13.0328516),600018,hospital,hospital,Nandalala Medical Foundation,Chennai,"Thoppu New No.2,(Old No.64),Dr.Ranga Road, Abiramapuram",Tamil Nadu,OpenGovernmentData,,,,80.2615173,13.0328516
POINT (80.2138799 13.1308907),600099,hospital,hospital,Sri Kumaran Health Centre,Thiruvallur,"No:1419, Chennai, 200 Feet,Retteri Junction,Kolathur",Tamil Nadu,OpenGovernmentData,,Madhavaram,,80.2138799,13.130890699999998
POINT (80.2247932 12.9784706),600042,hospital,hospital,Nandhini Hospital,Chennai,"40B, Tansi Nagar Vii St, Velachery",Tamil Nadu,OpenGovernmentData,,,,80.22479320000001,12.9784706
POINT (80.2607878 13.0265108),600028,hospital,hospital,Navasuja Sankara Nethralaya,Chennai,"73 Venkatakrishna Road, Ra Puram",Tamil Nadu,OpenGovernmentData,,,,80.2607878,13.026510800000002
POINT (80.2030747 13.083452),600040,hospital,hospital,Neomed Hospital - Chennai,Chennai,"2181 L Block 12Th Main Road, Anna Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2030747,13.083451999999996
POINT (80.2311185 13.0316469),600017,hospital,hospital,"New Balaji Hospital, Chennai",Chennai,"49 Srinivasa Reddu Street,T Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2311185,13.0316469
POINT (80.2414826 13.0777579),600106,hospital,hospital,New Hope Indian Specilaity Hospital,Chennai,"No 1051, Poonamallee High Road, Arumbakkam",Tamil Nadu,OpenGovernmentData,,,,80.2414826,13.077757899999998
POINT (80.2415201 13.0776821),600010,hospital,hospital,New Hope Medical Centre Pvt. Ltd,Chennai,"No. 814, Poonamallee High Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2415201,13.0776821
POINT (80.2940284 13.111251),600013,hospital,hospital,Nichani Health Centre,Chennai,"10, Arthoon Road Royapuram",Tamil Nadu,OpenGovernmentData,,,,80.2940284,13.111251
POINT (80.1507749 13.1184222),600053,hospital,,Om Shakthi Hospital,Tiruvallur,"No. 11, Old B.O.B. St. Secretariate Colony",Tamil Nadu,OpenGovernmentData,,,,80.1507749,13.1184222
