geometry,amenity,name,addr:postcode,healthcare,addr:district,addr:full,addr:state,source,longitude,latitude
POINT (80.2325615 13.0341895),clinic,Dr Vas Dental Clinic,600017.0,clinic,Chennai,"Old No.33,New No.10.Mannar Street,T.Nagar",Tamil Nadu,OpenGovernmentData,80.2325615,13.034189499999998
POINT (80.146014 13.1164154),clinic,Sri Vaishnavi Nursing Home,600053.0,,Tiruvallur,"C-57,2nd Main Road, Thiruvenkada Nagar, Ambattur",Tamil Nadu,OpenGovernmentData,80.146014,13.1164154
POINT (80.2247456 13.084629),clinic,Rajalakshmi Nursing Home,600102.0,clinic,Chennai,"D-93 (D-107), First Main Road, Anna Nagar",Tamil Nadu,OpenGovernmentData,80.2247456,13.084628999999998
POINT (80.185183 13.0477067),clinic,Lalitha Nurshing Home,600087.0,clinic,Tiruvallur,"192,Nakeeran Street, Alwarthirunagar, Chennai",Tamil Nadu,OpenGovernmentData,80.185183,13.0477067
POINT (80.224244 13.1225671),clinic,Kts Nursing Home,600099.0,clinic,Tiruvallur,"7/10, Bharathi Nagar, Balaji Nagar Main Road, Kolathur",Tamil Nadu,OpenGovernmentData,80.224244,13.122567099999998
POINT (80.2162363 13.0883153),clinic,Darshan Eye Clinic,600040.0,clinic,Chennai,T-80 (New no.24) 5th Main Road,Tamil Nadu,OpenGovernmentData,80.2162363,13.0883153
POINT (80.2883984 13.1169712),clinic,Sanjeevini Nursing Home,600021.0,clinic,Chennai,"80, Kappal Polu Street, Old Washermenpet",Tamil Nadu,OpenGovernmentData,80.2883984,13.1169712
POINT (80.2876957 13.1168268),clinic,Vasantha Nursing Home,600012.0,clinic,Chennai,119 Sanjeevarayan Koil Street Old Washerman Pet,Tamil Nadu,OpenGovernmentData,80.2876957,13.1168268
POINT (80.2227634 13.0257935),clinic,Sri Balaji Ent And Maternity Clinic,600015.0,clinic,Chennai,"29/59, Near West Jones Road, Saidapet, Sadayappan St",Tamil Nadu,OpenGovernmentData,80.2227634,13.0257935
POINT (80.2283525 13.0266147),clinic,Vijay's Nursing Home,600035.0,clinic,Chennai,"39, West Road, West City Nagar",Tamil Nadu,OpenGovernmentData,80.2283525,13.0266147
POINT (80.301336 13.1584009),clinic,Vinayak Clinic,600019.0,clinic,Tiruvallur,"76,South Mada St.,Thiruvottiyur",Tamil Nadu,OpenGovernmentData,80.301336,13.1584009
POINT (80.1931438 13.0390577),clinic,Sucha Eye Cure,600078.0,clinic,Chennai,"Jothir Akshaya Flat-1 No-59, Munusamy Salai Kk Nagar West Near Pondy State Guest House",Tamil Nadu,OpenGovernmentData,80.1931438,13.039057700000004
POINT (80.2415751 13.097668),clinic,Amruth Siddha and Ayurvedic Clinic,600023.0,clinic,Chennai,"#45/11,K.H Road,Ayanavaram,Opp T N S C Bank Near Ayanavaram Signal",Tamil Nadu,OpenGovernmentData,80.24157510000002,13.097668
POINT (80.2217676 13.0607823),clinic,Siva Sakthi Nursing Home,600094.0,,Chennai,"No. 7, Venkateswara Lane, Anna Nednmpathai, Choolaimeda, Near Kodambakkam (Power House)",Tamil Nadu,OpenGovernmentData,80.2217676,13.0607823
POINT (80.2170509 13.037934),clinic,Csm Nursing Home,600033.0,clinic,Chennai,"Old No:18 New No: 10, Westmambalam, Rukmani St",Tamil Nadu,OpenGovernmentData,80.2170509,13.037933999999998
POINT (80.236031 13.0838165),clinic,Sree Sai Krishna Poly Clinic Hospital,600010.0,clinic,Chennai,"#32/1, (Old No.463/1),Kilpauk Garden Road ,Kilpauk",Tamil Nadu,OpenGovernmentData,80.236031,13.083816499999998
POINT (80.2576784 13.0346684),clinic,Aarthi Scans,600018.0,,Chennai,"No 17, CV Raman Road",Tamil Nadu,OpenGovernmentData,80.2576784,13.0346684
POINT (80.2321847 13.0312145),clinic,Sri Visa Clinic,600017.0,clinic,Chennai,"A Unit Of Sre Visa Clinic (P) Ltd, No.13,New Boag Road, T Nagar",Tamil Nadu,OpenGovernmentData,80.2321847,13.0312145
POINT (80.2164307 13.0352086),clinic,Sri Hari Clinic,600083.0,clinic,Chennai,"61, 7Th Avenue, Ashok Kumar",Tamil Nadu,OpenGovernmentData,80.2164307,13.0352086
POINT (80.2354315 13.0768382),clinic,Dr. A.G. Arumugam Nursing Home,600010.0,clinic,Chennai,"Old No.764, New No.402, Poonamallee High Road, (Chathurpujadoss Road), Kilpauk, Madras",Tamil Nadu,OpenGovernmentData,80.2354315,13.076838199999996
POINT (80.2596062 13.0872141),clinic,Dr Ravishankars Eye Clinic and Nursing Home,600112.0,clinic,Chennai,"No.11, Hunters Road, (Near Clock Tower) Vepery",Tamil Nadu,OpenGovernmentData,80.2596062,13.0872141
POINT (80.2645898 13.0489087),clinic,Seethapathy Nursing Home,600014.0,clinic,Chennai,"241,Royupattak High Road",Tamil Nadu,OpenGovernmentData,80.2645898,13.048908699999997
POINT (80.2533312 12.991685),clinic,Adyar Dispensary,600020.0,centre,Chennai,"Block No l.122/169-170,CPWD Quarters, Indira Nagar, Adyar",Tamil Nadu,OpenGovernmentData,80.2533312,12.991685
POINT (80.2436035 13.1216418),clinic,Dr. M. Mohamed Meeran Clinic,600039.0,clinic,Chennai,"77, Paper Mills Road, Perambur",Tamil Nadu,OpenGovernmentData,80.2436035,13.121641800000004
POINT (80.2456386 13.0782438),clinic,Ramarau Polyclinic,600010.0,clinic,Chennai,"New.No.264 (Old No 829/2), Poonamallee High Road, Kilpauk",Tamil Nadu,OpenGovernmentData,80.2456386,13.0782438
POINT (80.2079107 13.0368),clinic,K.K. Nagar Dispensary and Polyclinic,600078.0,clinic,Chennai,"GPRA Complex, CPWD Quarters, K.K.Nagar",Tamil Nadu,OpenGovernmentData,80.2079107,13.0368
POINT (80.2518544 13.0017764),clinic,Adyar Ortho Clinic,600020.0,clinic,Chennai,"108/2, Akhil Apartment, Kamaraj Avenue First Street, Kasturba Nagar Main Road, Adyar, near Nalli Silks, Chennai",Tamil Nadu,OpenGovernmentData,80.2518544,13.0017764
POINT (80.2498239 13.0012776),clinic,Siloam Hospital,600020.0,clinic,Chennai,"Justice Ramaswamy Ave, Venkata Rathnam Nagar Extension, Rukmani Nagar, Adyar",Tamil Nadu,OpenGovernmentData,80.2498239,13.0012776
POINT (80.2497784 13.0015495),clinic,Dr VK Jayalakshmi - Vishnu Fertility Centre,600020.0,clinic,Chennai,"No: 148, Kamaraj Ave 2nd St, Adyar",Tamil Nadu,OpenGovernmentData,80.2497784,13.0015495
POINT (80.2517777 13.1308512),clinic,Shri Pooja Maternity Clinic,600118.0,clinic,Chennai,"Opp. Relince Fressh, M.R. Nagar, Tondiarpet High Road",Tamil Nadu,OpenGovernmentData,80.2517777,13.130851200000004
POINT (80.302246 13.18013),clinic,Urban Health Poly Clinic,600057.0,clinic,Chennai,"Street No. 2 Jothi Nagar, Tiruvottiyur",Tamil Nadu,OpenGovernmentData,80.302246,13.180130000000002
POINT (80.2012267 13.0583373),clinic,Sakthi Nursing Home,600093.0,,Chennai,"No.4, Near Nagathamman Koil St, Saligramam, M.G.R. Salai",Tamil Nadu,OpenGovernmentData,80.2012267,13.058337299999998
POINT (80.2217663 13.0605437),clinic,Siva Sakthi Nursing Home,600094.0,,Chennai,"No:7, Near Anna Nedumapadhai Market, Choolaimedu, Venkateswara Lane",Tamil Nadu,OpenGovernmentData,80.2217663,13.060543699999998
POINT (80.223972 13.12222),clinic,Kts Nursing Home,600099.0,clinic,Chennai,"No: 7/10, Near By Perambur Srinivasa Sweets, Kolathur, Bharathi Nagar Balaji Nagar Main Road",Tamil Nadu,OpenGovernmentData,80.223972,13.12222
POINT (80.194729 13.05943),clinic,SBS Hospital Nursing Home,600092.0,,Chennai,"No.3, Virugambakkam, Iind Main Road Natesan Nagar",Tamil Nadu,OpenGovernmentData,80.194729,13.05943
POINT (80.273916 13.05774),clinic,Subam Clinic,600005.0,clinic,Chennai,"239/4, Rathna Cafebus Stand, Triplicane, Triplicane High Road",Tamil Nadu,OpenGovernmentData,80.273916,13.057740000000004
POINT (80.2857643 13.1192346),clinic,Ranga Nursing Home,600021.0,clinic,Chennai,"Near Maharani Post Office, Old Washermenpet, Thiruvottiyur High Road",Tamil Nadu,OpenGovernmentData,80.2857643,13.1192346
POINT (80.2745047 13.0621485),clinic,RIDA Physiotherapy Clinic,600005.0,clinic,Chennai,"Near Star Theatre, Triplicane High Road, Triplicane, Quaide-Millath High Road",Tamil Nadu,OpenGovernmentData,80.2745047,13.062148499999996
