geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,brand:hi,name:en,longitude,latitude
POINT (80.2159427 12.8784422),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2159427,12.878442200000002
POINT (80.1480866 13.1213581),atm,Bank of Baroda,,Q2003797,,yes,,,,,,Bank of Baroda,,Q2003797,,,,,80.1480866,13.121358100000002
POINT (80.149259 13.1177438),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.149259,13.1177438
POINT (80.2507436 12.97419),atm,Yes Bank,,Q2040394,,,,,Yes Bank,,,Yes Bank,,Q2040394,,,,,80.2507436,12.97419
POINT (80.3085601 13.1838996),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.3085601,13.1838996
POINT (80.2431859 12.8670613),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.2431859,12.8670613
POINT (80.242356 12.8638654),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.242356,12.8638654
POINT (80.2429293 12.8671268),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2429293,12.8671268
POINT (80.2315148 13.0705151),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,80.2315148,13.070515099999998
POINT (80.2516573 13.0038929),atm,State Bank of India,,Q1340361,,,,yes,,,,State Bank of India,,Q1340361,,,,,80.2516573,13.0038929
