geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,created_by,check_date,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,cash_in,level,name:en,name:hi,name:kn,name:pa,name:pnb,name:ur,wheelchair,brand:wikipedia:pa,fee,designation,website,branch,addr:city,addr:postcode,addr:street,brand:ta,name:ta,addr:housenumber,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,description,phone,network,official_name,atm,longitude,latitude
POINT (80.2425157 13.0586237),atm,,,,,,,,,,,DCB Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2425157,13.058623699999998
POINT (80.2414341 13.0582447),atm,,,,,,,,,,,UCB Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2414341,13.0582447
POINT (80.1904406 12.9708044),atm,Tamilnad Mercantile Bank Limited,,Q2044991,,yes,no,,Tamilnad Mercantile Bank Limited,,,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1904406,12.9708044
POINT (80.1903771 12.9710295),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,yes,no,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,no,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,,,,,,,,,,,,,,,,,80.1903771,12.971029499999997
POINT (80.2239769 12.9773907),atm,Bandhan Bank,,Q19882235,,yes,,,Bandhan Bank,,,Bandhan Bank,,Q19882235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2239769,12.9773907
POINT (80.210961 13.0370822),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,24/7,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,"No.19, Dr Natesan Salai, Raghavareddy Colony, Sector 10, Ashok Nagar, Chennai, Tamil Nadu 600083",,,,,,,,,,,,,,,,80.210961,13.037082199999999
POINT (80.2111799 13.0370621),atm,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,,,,,,,,,,,,,,,,,,https://www.bankofbaroda.in/,,,,"20, Dr Natesan Salai, Raghavareddy Colony, Zaffarkhanpet, K. K. Nagar, Chennai, Tamil Nadu 600083",,,,,,,,,,,,1800 258 4455,,,,80.2111799,13.0370621
POINT (80.2099479 13.0277712),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,24/7,Axis Bank,,Q2003549,en:Axis Bank,,,,,,,,,,,,,,,,,,,,,https://branch.axisbank.com/,,,,"No 6, 2, Chidambaram Salai, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,,,,,,,,,,,1860 500 5555,,,,80.20994790000002,13.027771200000002
POINT (80.2088633 13.0280282),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,"Karikalan Street, Pari Nagar, Jaffarkhanpet, Chennai, Tamil Nadu, 600083",,,,,,,,,,,,,,,,80.20886330000002,13.0280282
POINT (80.2120008 13.0278116),atm,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,,,,,,,,,,,,,,,,,,https://www.bankofbaroda.in/,,,,"40, Gangai Amman Koil St, Jawahar Nagar, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,,,,,,,,,,,,,,,80.2120008,13.027811600000001
